Minecraft Wiki:译名标准化
目录   
1	游戏内容中文译名标准化
1.1	对自身英文水准不甚自信的翻译者的建议
1.2	关于译名重定向页面
1.3	繁体/正体中文译名
2	方块
3	物品
4	实体/药水/效果
5	附魔
6	游戏难度和模式
7	游戏版本及更新
8	游戏内各数据值
9	生物群系
10	结构
11	其他




方块
英文名称	中文名称
Acacia Bark	金合欢树皮
Acacia Button	金合欢木按钮
Acacia Door	金合欢木门
Acacia Fence	金合欢栅栏
Acacia Fence Gate	金合欢栅栏门
Acacia Leaves	金合欢树叶
Acacia Pressure Plate	金合欢木压力板
Acacia Sapling	金合欢树苗
Acacia Trapdoor	金合欢木活板门
Acacia Wood	金合欢木
Acacia Wood Planks	金合欢木板
Acacia Wood Slab	金合欢台阶
Acacia Wood Stairs	金合欢楼梯
Activator Rail	激活铁轨
Air	空气
Allium	绒球葱
Andesite	安山岩
Anvil	铁砧
Armor Stand	盔甲架
Azure Bluet	茜草花
Banner	旗帜
Bark	树皮
Barrier	屏障
Beacon	信标
Bed	床
Bedrock	基岩
Birch Bark	白桦树皮
Birch Button	白桦木按钮
Birch Door	白桦木门
Birch Fence	白桦木栅栏
Birch Fence Gate	白桦木栅栏门
Birch Leaves	白桦树叶
Birch Pressure Plate	白桦木压力板
Birch Sapling	白桦树苗
Birch Trapdoor	白桦木活板门
Birch Wood	白桦木
Birch Wood Planks	白桦木板
Birch Wood Slab	白桦木台阶
Birch Wood Stairs	白桦木楼梯
Block Of Coal	煤炭块
Block Of Diamond	钻石块
Block Of Emerald	绿宝石块
Block Of Gold	金块
Block Of Iron	铁块
Block Of Quartz	石英块
Block Of Redstone	红石块
Blue Ice	蓝冰
Blue Orchid	兰花
Bone Block	骨块
Bookshelf	书架
英文名称	中文名称
Brain Coral	脑纹珊瑚
Brain Coral Block	脑纹珊瑚块
Brain Coral Fan	脑纹珊瑚扇
Brewing Stand	酿造台
Brick Stairs	砖块楼梯
Bricks	砖块
Bricks Slab	砖块台阶
Brown Mushroom	棕色蘑菇
Bubble Coral	气泡珊瑚
Bubble Coral Block	气泡珊瑚块
Bubble Coral Fan	气泡珊瑚扇
Button	按钮
Cactus	仙人掌
Cake	蛋糕
Carpet	地毯
Cauldron	炼药锅
Chain Command Block	连锁型命令方块
Chest	箱子
Chipped Anvil	开裂的铁砧
Chiseled Quartz Block	錾制石英块
Chiseled Red Sandstone	錾制红砂岩
Chiseled Sandstone	錾制砂岩
Chiseled Stone Brick	錾制石砖
Chiseled Stone Bricks	錾制石砖
Chiseled Stone Bricks Monster Egg	錾制石砖怪物蛋
Chorus Flower	紫颂花
Chorus Plant	紫颂植物
Clay (Block)	粘土块
Coal Ore	煤矿石
Coarse Dirt	砂土
Cobblestone	圆石
Cobblestone Monster Egg	圆石怪物蛋
Cobblestone Slab	圆石台阶
Cobblestone Stairs	圆石楼梯
Cobblestone Wall	圆石墙
Cobweb	蜘蛛网
Cocoa	可可果
Command Block	命令方块
Concrete	混凝土
Concrete Powder	混凝土粉末
Conduit	潮涌核心
Coral Block	珊瑚块
Corals	珊瑚块
Cracked Stone Brick	裂石砖
Cracked Stone Bricks	裂石砖
Cracked Stone Bricks Monster Egg	裂石砖怪物蛋
Crafting Table	工作台
Creeper Head	爬行者的头
Damaged Anvil	损坏的铁砧
Dandelion	蒲公英
英文名称	中文名称
Dark Oak Bark	深色橡树树皮
Dark Oak Button	深色橡木按钮
Dark Oak Door	深色橡木门
Dark Oak Fence	深色橡木栅栏
Dark Oak Fence Gate	深色橡木栅栏门
Dark Oak Leaves	深色橡树树叶
Dark Oak Pressure Plate	深色橡木压力板
Dark Oak Sapling	深色橡树树苗
Dark Oak Trapdoor	深色橡木活板门
Dark Oak Wood	深色橡木
Dark Oak Wood Planks	深色橡木木板
Dark Oak Wood Slab	深色橡木台阶
Dark Oak Wood Stairs	深色橡木楼梯
Dark Prismarine	暗海晶石
Dark Prismarine Slab	暗海晶石台阶
Dark Prismarine Stairs	暗海晶石楼梯
Daylight Sensor	阳光传感器
Dead Brain Coral Block	失活的脑纹珊瑚块
Dead Bubble Coral Block	失活的气泡珊瑚块
Dead Bush	枯死的灌木
Dead Fire Coral Block	失活的火珊瑚块
Dead Horn Coral Block	失活的鹿角珊瑚块
Dead Tube Coral Block	失活的管珊瑚块
Detector Rail	探测铁轨
Diamond Block	钻石块
Diamond Ore	钻石矿石
Diorite	闪长岩
Dirt	泥土
Dispenser	发射器
Door	门
Double Tallgrass	双草丛
Dragon Egg	龙蛋
Dragon Head	龙首
Dried Kelp Block	干海带块
Dropper	投掷器
Dry Sponge	海绵
Dyed Terracotta	染色陶瓦
Dyed Wool	染色羊毛
Emerald Ore	绿宝石矿石
Enchanting Table	附魔台
Enchantment Table	附魔台
End Crystal	末影水晶
End Gateway	末地折跃门方块
End Gateway (Block)	末地折跃门方块
End Portal	末地传送门方块
End Portal (Block)	末地传送门框架
End Portal Frame	末地传送门框架
End Rod	末地烛
End Stone	末地石
End Stone Bricks	末地石砖
英文名称	中文名称
Ender Chest	末影箱
Farmland	耕地
Fence	栅栏
Fence Gate	栅栏门
Fern	蕨
Fire	火
Fire Coral	火珊瑚
Fire Coral Block	火珊瑚块
Fire Coral Fan	火珊瑚扇
Flower	花
Flower Pot	花盆
Flowers	花
Frosted Ice	霜冰
Furnace	熔炉
Glass	玻璃
Glass Pane	玻璃板
Glazed Terracotta	带釉陶瓦
Glowstone	荧石
Gold Block	金块
Gold Ore	金矿石
Gold Pressure Plate	测重压力板（轻质）
Granite	花岗岩
Grass	草丛
Grass Block	草方块
Grass Path	草径
Gravel	沙砾
Hardened Clay	硬化粘土
Hay Bale	干草块
Hay Block	干草块
Head	头颅
Hopper	漏斗
Horn Coral	鹿角珊瑚
Horn Coral Block	鹿角珊瑚块
Horn Coral Fan	鹿角珊瑚扇
Huge Brown Mushroom	棕色巨型蘑菇
Huge Red Mushroom	红色巨型蘑菇
Ice	冰
Impulse Command Block	脉冲型命令方块
Inverted Daylight Sensor	反向阳光传感器
Iron Bars	铁栏杆
Iron Block	铁块
Iron Door	铁门
Iron Nugget	铁粒
Iron Ore	铁矿石
Iron Pressure Plate	测重压力板（重质）
Iron Trapdoor	铁活板门
Jack O'Lantern	南瓜灯
Jack-O-Lantern	南瓜灯
Jukebox	唱片机
Jungle Bark	丛林树皮
英文名称	中文名称
Jungle Button	丛林木按钮
Jungle Door	丛林木门
Jungle Fence	丛林木栅栏
Jungle Fence Gate	丛林木栅栏门
Jungle Leaves	丛林树叶
Jungle Pressure Plate	丛林木压力板
Jungle Sapling	丛林树苗
Jungle Trapdoor	丛林木活板门
Jungle Wood	丛林木
Jungle Wood Planks	丛林木板
Jungle Wood Slab	丛林台阶
Jungle Wood Stairs	丛林楼梯
Ladder	梯子
Lapis Lazuli Block	青金石块
Lapis Lazuli Ore	青金石矿石
Large Fern	大型蕨
Lava	熔岩
Leaves	树叶
Lever	拉杆
Lilac	欧丁香
Lily Pad	睡莲
Locked Chest	上锁的箱子
Magma Block	岩浆块
Melon (Block)	西瓜
Melon Stem	西瓜梗
Mob Head	生物头颅
Monster Egg	怪物蛋
Monster Spawner	刷怪箱
Moss Stone	苔石
Mossy Cobblestone Wall	苔石墙
Mossy Stone Brick	苔石砖
Mossy Stone Bricks	苔石砖
Mossy Stone Bricks Monster Egg	苔石砖怪物蛋
Mushroom	蘑菇
Mushroom (Block)	蘑菇方块
Mushrooms	蘑菇
Mycelium	菌丝
Nether Brick	地狱砖块
Nether Brick Fence	地狱砖栅栏
Nether Brick Slab	地狱砖台阶
Nether Brick Stairs	地狱砖楼梯
Nether Portal	下界传送门
Nether Quartz Ore	下界石英矿石
Nether Wart	地狱疣
Nether Wart Block	地狱疣块
Netherrack	地狱岩
Note Block	音符盒
Oak Bark	橡树树皮
Oak Button	橡木按钮
Oak Door	橡木门
英文名称	中文名称
Oak Fence	橡木栅栏
